City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
471,Vanimo,PG,77.36,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
473,Abonnema,NG,78.26,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
474,Manavalakurichi,IN,80.87,overcast clouds,8.1333,77.3,Jebinrio home
478,Honiara,SB,76.3,broken clouds,-9.4333,159.95,Heritage Park Hotel
479,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
482,Neropolis,BR,81.48,clear sky,-16.4064,-49.2186,Pousada Recanto do Cerrado
486,Lingao,CN,83.46,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
489,Asfi,MA,72.37,clear sky,32.2994,-9.2372,Hôtel Abda
490,Lardos,GR,76.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
495,Lethem,GY,77.13,moderate rain,3.3803,-59.7968,Savannah Inn
496,Bata,GQ,79.36,light rain,1.8639,9.7658,Hotel Elik Melen
499,Lufilufi,WS,81.39,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
501,Shipley,GB,72.12,few clouds,53.8333,-1.7667,Dubrovnik Hotel
503,Indianola,US,80.31,clear sky,41.3581,-93.5574,Quality Inn Indianola
505,Alexandria,EG,79.45,clear sky,31.2156,29.9553,Royal Crown Hotel
506,Touros,BR,84.33,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
507,Karwar,IN,78.03,overcast clouds,14.8,74.1333,Netalco Connects
508,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
509,Jacareacanga,BR,86.41,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
510,Stephenville,US,84.76,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
511,La Palma,US,74.1,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
512,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
513,Downers Grove,US,78.46,clear sky,41.8089,-88.0112,"Holiday Inn Express Chicago-Downers Grove, an IHG Hotel"
514,Carutapera,BR,85.28,scattered clouds,-1.195,-46.02,Lidera
515,Santa Ana,US,72.5,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
520,Puerto Leguizamo,CO,72.18,overcast clouds,-0.1934,-74.7819,la casona de juancho
521,Xai-Xai,MZ,71.35,broken clouds,-25.0519,33.6442,Complexo da Familia
522,Phan Thiet,VN,80.38,scattered clouds,10.9333,108.1,Hotel Saigon-PT
527,Kuito,AO,77.79,scattered clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
531,Oskaloosa,US,80.58,clear sky,41.2964,-92.6444,EverSpring Inn & Suites
532,Damietta,EG,78.93,clear sky,31.4165,31.8133,SULIMAN INN
535,Gasa,PS,83.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
536,Mangrol,IN,84.83,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
537,Tarko-Sale,RU,78.73,overcast clouds,64.9225,77.785,Yubileynaya
538,Forestville,US,74.25,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
539,Atambua,ID,71.2,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
540,Puerto Del Rosario,ES,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
541,Remanso,BR,80.49,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
542,Roald,NO,71.17,clear sky,62.5833,6.1333,Flem Cabins
543,Tual,ID,79.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
544,Bayir,TR,75.72,clear sky,37.2687,28.2167,Hotel Babadag
545,Banjar,ID,76.19,few clouds,-8.19,114.9675,The Hamsa Resort
546,Nicoya,CR,76.51,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
547,Yuancheng,CN,76.41,overcast clouds,36.652,107.7896,
549,Hovd,MN,70.79,few clouds,48.0056,91.6419,Hotel Khovd
550,Biharamulo,TZ,77.83,overcast clouds,-2.6319,31.3089,Annex Lodge
552,Coahuayana,MX,81.16,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
553,Taitung,TW,84.09,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
555,Emilio Carranza,MX,79.84,overcast clouds,19.9711,-96.6114,Hotel Carranza Inn
559,Cockburn Town,TC,80.91,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
560,Pombas,CV,71.82,broken clouds,17.1503,-25.0201,Paul Paradis
562,Hima,UG,76.71,light rain,0.2958,30.1804,Hima Cement Limited Guest House
565,Srandakan,ID,78.17,scattered clouds,-7.9386,110.2506,Puri Brata
567,Entebbe,UG,75.52,few clouds,0.0644,32.4469,WB APARTMENT
569,Ilorin,NG,82.87,overcast clouds,8.5,4.55,SITY INN
577,Abha,SA,77.25,scattered clouds,18.2164,42.5053,Abha Hotel
578,Cape Coast,GH,80.28,light rain,5.1053,-1.2466,Samrit Hotel
582,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
587,Diamantino,BR,84.78,clear sky,-14.4086,-56.4461,Hotel Delta
589,Grand-Santi,GF,84.27,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
591,Boa Vista,BR,76.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
594,Qiryat Shemona,IL,89.44,clear sky,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
596,Dongsheng,CN,77.4,light rain,39.8161,109.9776,Crowne Plaza Ordos
597,Praia,CV,76.06,light rain,14.9215,-23.5087,LT Aparthotel
598,Roura,GF,83.97,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
599,Sao Miguel Do Araguaia,BR,88.32,few clouds,-13.275,-50.1628,Hotel Executivo Palace
600,Povorino,RU,84.22,clear sky,51.1945,42.2457,Hotel Povorino
602,Somotillo,NI,80.74,overcast clouds,13.0433,-86.9064,Las Lomas Somotillo
603,Luau,AO,85.78,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
606,Beroroha,MG,79.9,clear sky,-21.6667,45.1667,
607,Sola,VU,79.83,broken clouds,-13.8833,167.55,Leumerus Bungalows
608,Singapore,SG,80.55,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
610,Agadir,MA,82.85,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
613,Moose Factory,CA,70.03,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
616,Gigmoto,PH,81.79,scattered clouds,13.7796,124.39,Cj's Travellers Inn
618,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
620,Santa Isabel Do Rio Negro,BR,80.2,overcast clouds,-0.4139,-65.0192,Hotel GSA
622,Filadelfia,US,73.0,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
623,Tecoanapa,MX,79.38,overcast clouds,16.5167,-98.75,Hotel Manglares
624,Lebanon,US,77.45,few clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
625,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
626,Mao,ES,79.36,few clouds,39.8885,4.2658,ARTIEM Capri
628,Oktyabrskoye,RU,82.54,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
630,Padang,ID,80.65,heavy intensity rain,-0.9492,100.3543,Mercure Padang
632,Manacapuru,BR,83.25,broken clouds,-3.2997,-60.6206,Novo Hotel
633,Itaituba,BR,87.24,broken clouds,-4.2761,-55.9836,Hotel Campos
634,Pastos Bons,BR,87.4,clear sky,-6.6017,-44.0767,Área de lazer casa (Pucina)
635,Papetoai,PF,72.99,clear sky,-17.4961,-149.8729,Fare Vaihere
637,Ndele,CF,89.06,light rain,8.4109,20.6473,
638,Khetia,IN,87.08,broken clouds,21.6667,74.5833,Mastana Hotel
640,Mandera,KE,89.82,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
642,Manaure,CO,84.76,scattered clouds,11.7751,-72.4445,Hotel Palaaima
643,Cururupu,BR,87.3,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
646,Barentu,ER,88.99,overcast clouds,15.1139,37.5928,
648,Antalaha,MG,73.45,few clouds,-14.9003,50.2788,Hotel Vitasoa
650,Harper,LR,79.7,light rain,4.375,-7.7169,Screensaver
653,Ceyhan,TR,86.34,clear sky,37.0247,35.8175,Ilbeyli Kiz Ogrenci Yurdu
654,Dawei,MM,79.61,overcast clouds,14.0833,98.2,Hotel Dawei
663,Fallbrook,US,75.13,clear sky,33.3764,-117.2512,Econo Lodge Inn & Suites Fallbrook Downtown
664,Biga,TR,79.57,clear sky,40.2281,27.2422,Köşdere Otel
666,Kloulklubed,PW,82.98,moderate rain,7.0419,134.2556,Storyboard Beach Resort
668,Zhanaozen,KZ,89.96,clear sky,43.3,52.8,K.korabay 28A
669,Lhokseumawe,ID,80.01,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
